Chicago;Description;Code
IMPROPER OVERTAKING/PASSING;Overtake and Pass Insufficient Clearance  ;53
IMPROPER LANE USAGE;Failed to Drive in Single Lane  ;23
PHYSICAL CONDITION OF DRIVER;Ill (Explain in Narrative)  ;47
EXCEEDING SAFE SPEED FOR CONDITIONS;Speeding - (Over Limit)  ;61
NOT APPLICABLE;other;101
FAILING TO YIELD RIGHT-OF-WAY;FAILING TO YIELD RIGHT-OF-WAY;126
DISTRACTION - FROM INSIDE VEHICLE;Distraction in Vehicle  ;19
WEATHER;WEATHER;131
EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST;Faulty Evasive Action  ;41
HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE);Had Been Drinking  ;45
EXCEEDING AUTHORIZED SPEED LIMIT;Speeding - (Over Limit)  ;61
UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED);Intoxicated - Alcohol  ;67
FAILING TO REDUCE SPEED TO AVOID CRASH;Unsafe Speed  ;60
DISREGARDING STOP SIGN;Disregard Stop Sign or Light  ;16
MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT;Failed to Yield ROW - Turn on Red  ;38
IMPROPER BACKING;Improper Start from a Stopped, Standing, or Parked Position  ;49
FOLLOWING TOO CLOSELY;Followed Too Closely  ;44
DISREGARDING YIELD SIGN;Failed to Yield ROW - Yield Sign  ;39
IMPROPER TURNING/NO SIGNAL;Turned when Unsafe  ;66
DISREGARDING TRAFFIC SIGNALS;Disregard Stop and Go Signal  ;15
BICYCLE ADVANCING LEGALLY ON RED LIGHT;BICYCLE ADVANCING LEGALLY ON RED LIGHT;120
TURNING RIGHT ON RED;Failed to Yield ROW - Turn on Red  ;38
DISTRACTION - FROM OUTSIDE VEHICLE;DISTRACTION - FROM OUTSIDE VEHICLE;121
ROAD CONSTRUCTION/MAINTENANCE;ROAD CONSTRUCTION/MAINTENANCE;129
DRIVING ON WRONG SIDE/WRONG WAY;Wrong Side - Not Passing  ;70
OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER;Road Rage  ;73
OBSTRUCTED CROSSWALKS;OBSTRUCTED CROSSWALKS;127
DISREGARDING ROAD MARKINGS;Disregard Warning Sign at Construction  ;18
RELATED TO BUS STOP;RELATED TO BUS STOP;128
UNABLE TO DETERMINE;UNABLE TO DETERMINE;132
EQUIPMENT - VEHICLE CONDITION;VEHICLE CONDITION;125
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE;DRIVING SKILLS/KNOWLEDGE/EXPERIENCE;124
ROAD ENGINEERING/SURFACE/MARKING DEFECTS;Pavement Defective;130
DISREGARDING OTHER TRAFFIC SIGNS;DISREGARDING OTHER TRAFFIC SIGNS;122
PASSING STOPPED SCHOOL BUS;Failed to Stop for School Bus  ;30
ANIMAL;Animal on Road - Domestic  ;1
TEXTING;Cell/Mobile Device Use - Texting  ;75
VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.);Impaired Visibility (Explain in Narrative)  ;48
DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.);DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.);123
CELL PHONE USE OTHER THAN TEXTING;Cell/Mobile Device Use - Other  ;76
